gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-a2009s_lh_volume_S-temporal-sup	a2009s	lh	temporal	S_temporal_sup
aparc-a2009s_lh_volume_S-temporal-transverse	a2009s	lh	temporal	S_temporal_transverse
aparc-a2009s_rh_volume_G+S-frontomargin	a2009s	rh	frontal	G_and_S_frontomargin
aparc-a2009s_rh_volume_G+S-occipital-inf	a2009s	rh	occipital	G_and_S_occipital_inf
aparc-a2009s_rh_volume_G+S-paracentral	a2009s	rh	frontoparietal	G_and_S_paracentral
aparc-a2009s_rh_volume_G+S-subcentral	a2009s	rh	frontoparietal	G_and_S_subcentral
aparc-a2009s_rh_volume_G+S-transv-frontopol	a2009s	rh	frontal	G_and_S_transv_frontopol
aparc-a2009s_rh_volume_G+S-cingul-Ant	a2009s	rh	cingulate	G_and_S_cingul-Ant
aparc-a2009s_rh_volume_G+S-cingul-Mid-Ant	a2009s	rh	cingulate	G_and_S_cingul-Mid-Ant
aparc-a2009s_rh_volume_G+S-cingul-Mid-Post	a2009s	rh	cingulate	G_and_S_cingul-Mid-Post
aparc-a2009s_rh_volume_G-cingul-Post-dorsal	a2009s	rh	cingulate	G_cingul-Post-dorsal
aparc-a2009s_rh_volume_G-cingul-Post-ventral	a2009s	rh	cingulate	G_cingul-Post-ventral
aparc-a2009s_rh_volume_G-cuneus	a2009s	rh	occipital	G_cuneus
aparc-a2009s_rh_volume_G-front-inf-Opercular	a2009s	rh	frontal	G_front_inf-Opercular
aparc-a2009s_rh_volume_G-front-inf-Orbital	a2009s	rh	frontal	G_front_inf-Orbital
aparc-a2009s_rh_volume_G-front-inf-Triangul	a2009s	rh	frontal	G_front_inf-Triangul
aparc-a2009s_rh_volume_G-front-middle	a2009s	rh	frontal	G_front_middle
aparc-a2009s_rh_volume_G-front-sup	a2009s	rh	frontal	G_front_sup
aparc-a2009s_rh_volume_G-Ins-lg+S-cent-ins	a2009s	rh	insula	G_Ins_lg_and_S_cent_ins
aparc-a2009s_rh_volume_G-insular-short	a2009s	rh	insula	G_insular_short
aparc-a2009s_rh_volume_G-occipital-middle	a2009s	rh	occipital	G_occipital_middle
aparc-a2009s_rh_volume_G-occipital-sup	a2009s	rh	occipital	G_occipital_sup
aparc-a2009s_rh_volume_G-oc-temp-lat-fusifor	a2009s	rh	occipitotemporal	G_oc-temp_lat-fusifor
aparc-a2009s_rh_volume_G-oc-temp-med-Lingual	a2009s	rh	occipitotemporal	G_oc-temp_med-Lingual
aparc-a2009s_rh_volume_G-oc-temp-med-Parahip	a2009s	rh	temporal	G_oc-temp_med-Parahip
aparc-a2009s_rh_volume_G-orbital	a2009s	rh	frontal	G_orbital
aparc-a2009s_rh_volume_G-pariet-inf-Angular	a2009s	rh	parietal	G_pariet_inf-Angular
aparc-a2009s_rh_volume_G-pariet-inf-Supramar	a2009s	rh	parietal	G_pariet_inf-Supramar
aparc-a2009s_rh_volume_G-parietal-sup	a2009s	rh	parietal	G_parietal_sup
aparc-a2009s_rh_volume_G-postcentral	a2009s	rh	parietal	G_postcentral
aparc-a2009s_rh_volume_G-precentral	a2009s	rh	frontal	G_precentral
aparc-a2009s_rh_volume_G-precuneus	a2009s	rh	parietal	G_precuneus
aparc-a2009s_rh_volume_G-rectus	a2009s	rh	frontal	G_rectus
aparc-a2009s_rh_volume_G-subcallosal	a2009s	rh	corpus callosum	G_subcallosal
